0,117,1
1,121,2
2,123,2
3,126,5
4,128,10
5,130,10
6,132,49
7,134,37
8,137,59
9,139,73
10,141,129
11,143,216
12,146,177
13,148,231
14,150,341
15,152,256
16,154,660
17,157,397
18,159,595
19,161,565
20,163,577
21,165,811
22,168,600
23,170,551
24,172,656
25,174,488
26,176,697
27,179,375
28,181,441
29,183,404
30,185,343
31,187,310
32,190,202
33,192,148
34,194,160
35,196,107
36,198,132
37,201,53
38,203,60
39,205,35
40,207,26
41,209,28
42,212,18
43,214,7
44,216,5
45,218,3
46,220,4
47,225,1
48,227,1
49,243,2
